row_name,doc_id,new_cluster
1,4,2
2,5,2
3,15,2
4,20,2
5,25,2
6,30,2
7,39,2
8,40,2
9,54,9
10,59,2
11,64,2
12,67,2
13,75,2
14,85,2
15,91,2
16,119,2
17,122,2
18,132,2
19,142,2
20,157,2
21,165,2
22,175,2
23,185,2
24,191,2
25,201,4
26,210,2
27,218,2
28,220,2
29,224,4
30,232,9
31,245,9
32,252,4
33,267,2
34,275,2
35,287,2
36,302,2
37,313,2
38,322,2
39,337,2
40,345,2
41,357,9
42,361,2
43,374,2
44,394,2
45,418,2
46,425,2
47,446,2
48,472,2
49,479,2
50,482,2
51,496,2
52,500,2
53,519,2
54,556,2
55,590,2
56,602,1
57,636,2
58,640,9
59,652,2
60,660,2
61,673,2
62,685,2
63,690,2
64,697,2
65,703,2
66,715,4
67,726,2
68,731,4
69,766,2
70,785,2
71,789,2
72,805,2
73,815,9
74,826,2
75,830,2
76,845,2
77,853,9
78,902,2
79,929,2
80,937,2
81,945,2
82,951,2
83,965,2
84,969,2
85,979,2
86,980,2
87,993,2
88,1011,2
89,1033,2
90,1039,2
91,1040,2
92,1069,2
93,1071,2
94,1088,2
95,1091,4
96,1105,2
97,1107,2
98,1116,2
99,1125,2
100,1164,2
101,1171,9
102,1176,2
103,1185,9
104,1201,2
105,1208,2
106,1212,2
107,1217,2
108,1228,2
109,1239,2
110,1246,2
111,1268,9
112,1272,2
113,1280,9
114,1286,2
115,1295,2
116,1302,2
117,1314,2
118,1316,4
119,1317,9
120,1321,2
121,1322,2
122,1324,2
123,1334,9
124,1350,9
125,1355,9
126,1367,9
127,1379,9
128,1384,2
129,1403,2
130,1410,4
131,1417,2
132,1439,2
133,1448,2
134,1461,2
135,1466,2
136,1470,2
137,1474,2
138,1486,2
139,1492,9
140,1495,2
141,1508,2
142,1520,2
143,1533,2
144,1539,2
145,1545,2
146,1568,9
147,1597,2
148,1601,2
149,1624,2
150,1625,2
151,1652,2
152,1662,2
153,1671,9
154,1698,2
155,1710,2
156,1727,2
157,1769,9
158,1789,2
159,1809,2
160,1819,2
161,1850,2
162,1900,2
163,1943,2
164,1946,9
165,1949,2
166,1955,9
167,1970,9
168,1981,9
169,2046,2
170,2078,4
171,2084,4
172,2095,9
173,2103,2
174,2121,4
175,2139,9
176,2144,2
177,2152,2
178,2157,2
179,2162,2
180,2173,2
181,2191,2
182,2211,2
183,2235,2
184,2238,2
185,2246,2
186,2269,2
187,2272,2
188,2299,2
189,2301,2
190,2334,2
191,2338,2
192,2344,9
193,2386,2
194,2396,2
195,2425,2
196,2436,9
197,2447,2
198,2483,2
199,2486,2
200,2493,2
201,2501,2
202,2506,2
203,2519,9
204,2523,2
205,2528,9
206,2550,2
207,2567,2
208,2585,2
209,2608,4
210,2618,2
211,2626,9
212,2669,2
213,2701,2
214,2713,9
215,2725,2
216,2737,9
217,2741,2
218,2790,2
219,2797,2
220,2859,9
221,2871,2
222,2908,2
223,2921,9
224,2937,2
225,2944,2
226,2963,2
227,2967,4
228,2979,2
229,2983,2
230,2987,2
231,3031,2
232,3067,2
233,3077,2
234,3093,2
235,3130,2
236,3134,2
237,3161,2
238,3165,2
239,3175,2
240,3181,2
241,3192,2
242,3195,4
243,3211,2
244,3216,2
245,3232,2
246,3250,2
247,3252,2
248,3271,2
249,3300,2
250,3308,2
251,3317,2
252,3320,2
253,3323,2
254,3328,9
255,3333,2
256,3336,2
257,3347,2
258,3356,4
259,3363,4
260,3403,2
261,3412,2
262,3417,2
263,3433,2
264,3456,2
265,3498,2
266,3504,2
267,3511,9
268,3515,2
269,3518,2
270,3550,2
